row_index,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18
3024,2.727325360353292e-4,5.549768132252362e-5,3.803221542286568e-4,7.027852640130025e-4,1.0964781059357152e-4,4.895910001897032e-5,2.1500660199992523e-4,1.1082865282405367e-5,1.3039311806566675e-4,0.6103326089236438,0.0028893665853600217,0.07592833358010222,1.12396317829758e-4,0.002824904762216903,1.4598408434566976e-4,0.18658247667145914,0.007283000575233552,0.11197450136824881
3025,2.2563425490109456e-4,8.185511764640875e-5,0.0013212109425078163,0.9717515312018186,0.0025105634441554793,1.9067935917284733e-4,0.0010053390535644665,0.0036029080623618246,7.216847670129742e-4,0.0013591143311358464,0.0024640173611864963,4.1525514082478196e-4,0.0015921209883029005,1.1203620382260049e-4,0.007263605369698453,6.101059988909648e-4,8.898766632722278e-4,0.0038824617397247114
3026,0.0025425390893709862,8.606402855557983e-4,0.10904025622414379,0.07887585168008818,0.0069204698648091,8.052499268033092e-4,0.006399833346493044,0.008089734084798862,0.009385196946832501,0.5598385852438122,0.13773001154207198,0.008689050059728245,0.01855588995241492,0.036930853860771266,5.565286304572762e-4,0.003399899731908117,0.0023545882996622875,0.009024821230278271
3027,0.0046100537121726865,0.0034250266936439525,0.006206640003308094,0.0066277151778754,0.014935092792468074,0.0014701105372662989,0.00171731398326216,0.0013379253798331651,0.005117852594042457,0.8740029216946485,0.029039794879302777,0.00832249234098571,3.945442921638761e-4,0.01151349261195404,0.0016984681539714882,0.018812635068675268,0.0033442171031075464,0.00742370298131865
3028,0.5939607000600547,0.03678001702971489,0.00980005248171311,0.021629886275007094,0.10588918207108045,0.0020193362490738345,0.0031913620565487484,0.004570814349600903,0.0070234169155890536,0.00455947104362976,0.03857839413018591,0.008783324514332886,5.502581086349104e-4,7.185753140665298e-4,0.004133051648485519,0.0036699031902741558,0.0022502583398514835,0.15189199622215613
3029,0.00948509719771322,2.555634851275934e-4,0.0019063788042472595,0.01640680080197376,0.016767318664318825,2.4890363402093935e-4,5.082882769781791e-4,3.975681937640179e-4,7.329559311460721e-4,0.7781684311630545,0.005556855240300669,7.368160935369234e-4,3.421600416430708e-5,0.155516844743885,2.4062003713472578e-4,0.001659549206861502,0.005921723059357479,0.0054560694624146
3030,0.04421272138154283,0.060725815310223474,0.5716873594550668,0.13754064314296116,0.04361120140502368,0.001183445353355364,0.004645325428328149,0.008753841514845994,0.04728124072066381,0.0028824501880140474,0.01834448834432451,0.0029670597324724787,0.01804951714503579,4.544934528817358e-4,0.007944588661163966,0.0038359131294661334,0.014088450328701839,0.011791445305927996
3031,0.0016276826615488147,2.8832096166279324e-4,6.756246897283754e-4,0.0060923692615036835,6.188095818934151e-4,1.5400953888889654e-4,7.89386228573206e-4,2.348963072870563e-4,0.001066092158477817,0.8471707605524683,0.015853002554017264,0.013319658420080573,2.1461628899593034e-4,0.004379503351618258,3.8727799425203503e-4,0.008124390173345895,0.015211707146235631,0.08379189212942201
3032,3.249050249428945e-4,2.9713791849764323e-4,0.1507632712987698,0.05787721074622958,0.001032581228968322,3.699575971190349e-4,9.357182617534303e-4,0.002017109276972665,7.585998262284855e-4,0.2260149062856486,0.02142872271722933,0.031978841158158355,0.005376405919980708,0.0038186024488302567,5.058474187350516e-4,0.005174018285799241,0.4867375474799632,0.004588617106173448
3033,2.494116325812271e-4,2.132923986316035e-4,0.001511183633591201,0.0019850517107304643,0.001774977687118642,5.753169530372475e-4,4.84315705411713e-4,2.1934367216319272e-4,5.054299910982929e-4,0.12011290851569147,0.010452042867661188,0.021971514028448404,6.653873256995625e-4,0.002476774834008397,5.064625894857299e-4,0.8284009550892408,0.0015155526029822894,0.006380078762418697
