docnum,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,doc_id,month.x,volume.x,year.x,filename.x,filename.y,volume.y,year.y,month.y
1066,2.1243060983612566e-4,3.562962231134172e-4,6.279523887205473e-4,6.017503133399948e-4,0.0027365459329992394,0.9805681747975195,0.0011761701981985399,0.0016465061910501963,0.0011047023653282613,1.8058772291048504e-4,8.225018838999993e-4,3.0177794155221074e-4,5.965718744335712e-4,2.463127549264552e-4,3.364369544028637e-4,3.4940096155015545e-4,4.98365037395585e-4,0.0014976785892425247,0.005938455826246271,2.0138143333423757e-4,1076,December,Vol6,1919,December_Vol6_00_CONTENTS.txt,December_Vol6_00_CONTENTS.txt,Vol6,1919,December
1067,1.8363026404560454e-5,5.4842531093550385e-5,7.683310271496203e-6,1.2707732088084847e-4,1.9325193574894228e-6,3.223389400146075e-5,8.739672766424183e-6,1.6400988249880397e-4,2.1352111769618e-4,1.1964868107355933e-4,5.612368891572167e-4,8.727214645720635e-5,1.7319544325391186e-4,2.9181472705030373e-5,9.629779481190327e-6,0.9776900939268228,8.583836827911731e-5,2.2345257111727024e-4,0.020375641720750078,1.640572593202046e-5,1077,December,Vol6,1919,December_Vol6_01_General_Relief_Society_Conference._._._.Amy_Brown_Lyman.txt,December_Vol6_01_General_Relief_Society_Conference._._._.Amy_Brown_Lyman.txt,Vol6,1919,December
1068,6.091246107038335e-4,7.358622875226109e-4,0.0015851778202796085,4.794806766911721e-4,0.7211061555385019,0.24333863592435567,0.002762944931000654,0.0016891418200941526,0.009460416097167648,4.451872471541709e-4,9.390675910220195e-4,3.2789165041168986e-4,0.003919082273671039,7.072084477107455e-4,0.004618862158715277,1.2819285272702382e-4,5.268196033142529e-4,7.240280505084551e-4,0.005230743916917954,6.659765015299742e-4,1078,December,Vol6,1919,December_Vol6_02_Vera_Grace_Ingles_Frost.txt,December_Vol6_02_Vera_Grace_Ingles_Frost.txt,Vol6,1919,December
1069,3.4305207101817056e-4,2.765796607069796e-4,6.1020326209220594e-5,1.2634496923687172e-4,4.72653984309375e-4,1.911947839279752e-4,3.319016008050723e-4,1.0123146228798915e-4,0.001836170583033586,7.07300651293088e-5,2.2451287822408908e-4,4.1225348332031217e-4,0.002008607038999575,1.9877110158086588e-4,2.321687430274226e-4,2.4727644345858615e-4,1.8511435563785912e-4,3.208475133156853e-4,2.7439740438210013e-4,0.9920851715313889,1079,December,Vol6,1919,December_Vol6_03_Buddhist_Temples_Mary_Foster_Gibbs.txt,December_Vol6_03_Buddhist_Temples_Mary_Foster_Gibbs.txt,Vol6,1919,December
1070,0.0013330268297064593,0.0016221164984051338,0.00429084558638994,0.0011058183336640965,0.6037799484876243,0.2846402411639213,0.00906880772756159,0.0020532875896877535,0.01580913527258481,0.001698135947406465,0.001869845102058158,9.001382869881867e-4,0.0065608143932428635,0.0042330235515121864,0.049855586126342104,4.37364757161357e-4,0.0018457826947115043,0.002117914562933572,0.0055314566988302945,0.0012467103892676713,1080,December,Vol6,1919,December_Vol6_04_Today_Bertha_A._Kleinman.txt,December_Vol6_04_Today_Bertha_A._Kleinman.txt,Vol6,1919,December
1071,2.18693288763694e-5,3.4658317516007023e-4,4.782248204967451e-4,4.100113471568048e-4,6.349216486747069e-4,2.3471070531397146e-4,1.0744141533134325e-4,4.4952502935918424e-4,0.0014282229875353131,0.0012291207374477914,5.253219311178092e-4,2.8686868129176185e-4,5.683018791643343e-4,0.001418330813427172,0.5681592469920748,0.34480495468603,5.510521438030169e-4,5.053149911406306e-4,0.07776144324762771,7.853343897069743e-5,1081,December,Vol6,1919,December_Vol6_05_Beyond_Arsareth_Nephi_Anderson.txt,December_Vol6_05_Beyond_Arsareth_Nephi_Anderson.txt,Vol6,1919,December
1072,0.0017844584064611124,3.6340507256516944e-4,0.001833446842171634,5.426533020231699e-4,0.13648808918573163,4.653839789580401e-4,0.0028250332836607926,0.0011091616056356326,0.3614779184385967,0.03513417139501442,0.004216799678585496,9.389796946976969e-4,0.31799716312955056,0.0011613675970010325,0.12568332699857057,0.0014938954593494045,5.819688975663121e-4,3.5525021529903705e-4,0.004325184528986205,0.001222342289575384,1082,December,Vol6,1919,December_Vol6_06_Editorial_Our_Christmas_Testimony.txt,December_Vol6_06_Editorial_Our_Christmas_Testimony.txt,Vol6,1919,December
1073,2.2834904674240607e-4,2.40242546144954e-4,4.308353908571711e-5,1.826432132749439e-4,1.526687509344645e-4,0.587605133466578,2.0512214100519818e-4,0.0016927663198837478,0.035743546210485054,6.240748598154617e-5,7.038685720978716e-4,4.616267379192345e-4,9.622244622221036e-4,1.6072533975635807e-5,8.389044087192238e-5,0.3510209101152245,2.7408402331819277e-4,4.706039133360028e-4,0.01967202076447572,1.787357164423496e-4,1083,December,Vol6,1919,December_Vol6_07_Guide_Lessons.txt,December_Vol6_07_Guide_Lessons.txt,Vol6,1919,December
1074,2.7639700203555216e-5,8.663827020301893e-5,8.973388756062781e-6,1.3898085547862598e-4,1.8532968042944556e-5,0.30210368029125284,2.5235439898971607e-5,0.0011054620277240945,1.3416989800345153e-4,6.945280973796143e-5,5.628115863129595e-4,1.5105830138382583e-4,1.168013842708735e-4,2.232342785394064e-5,7.2438805359835175e-6,0.6699666331760413,9.248755879589597e-5,6.990627338553906e-4,0.024634778021769308,2.8034279878678995e-5,1084,December,Vol6,1919,December_Vol6_MISC.txt,December_Vol6_MISC.txt,Vol6,1919,December
1075,2.8169435862840328e-5,7.10500523097365e-5,3.999829400722171e-4,4.927418790846649e-4,3.92152318188677e-4,0.0016594278118554115,1.545792867546992e-4,0.001894996921683394,6.783841277194766e-4,3.4301084008898306e-4,0.0013470727616188313,1.2975931995246368e-4,2.00379230293983e-4,1.3380207111107688e-4,5.957425336831883e-5,4.621656335740345e-4,2.735187255393047e-4,6.382779691963027e-4,0.9905685162377107,7.243818401473678e-5,1085,February,Vol6,1919,February_Vol6_00_BOARD.txt,February_Vol6_00_BOARD.txt,Vol6,1919,February
1076,1.4845528733488305e-4,2.655815276733986e-4,5.581078237882942e-4,5.329260832602733e-4,0.001851814540529243,0.9811888142215857,8.586781087094591e-4,0.0013788410163331026,8.854783945781499e-4,1.370551290149087e-4,8.008755348147165e-4,2.182196583554034e-4,4.323750311423027e-4,1.6109076537414196e-4,2.1077799702259794e-4,2.925667094450318e-4,3.7903522573477636e-4,0.0012786134058082718,0.008264447858992956,1.5624568050155228e-4,1086,February,Vol6,1919,February_Vol6_00_CONTENTS.txt,February_Vol6_00_CONTENTS.txt,Vol6,1919,February
1077,0.0024102005197753082,0.0021250616912007183,0.31138430062273453,0.23887263969577777,0.0022732134980155416,4.8038169116329326e-4,0.0035929307715272265,3.446388605143509e-4,0.10012063701860366,0.0014512831110701874,0.11548592459826201,3.0512406698094877e-4,0.17380182683625672,3.0903608552597926e-4,0.008878052585168673,0.0038932962637524856,0.02453441165391264,0.004028769570233865,0.005294177344659726,4.1409351486459376e-4,1087,February,Vol6,1919,February_Vol6_01_A_Business_Man's_Appreciation_of_President_Heber_J._Grant_Ho.txt,February_Vol6_01_A_Business_Man's_Appreciation_of_President_Heber_J._Grant_Ho.txt,Vol6,1919,February
1078,0.007815959534580216,0.0021860109082876686,0.4446794983926224,0.18068488352071638,7.743465476740954e-4,4.8131527838449857e-4,0.001997377854795263,1.9322632340638068e-4,0.05258893656478054,4.3817069386269775e-4,0.20777780749964184,1.4770358225129235e-4,0.06565217525782034,1.3050088935309204e-4,0.0010012561976747172,0.002764605926310002,0.015265098143140145,0.0028859976589574324,0.012220684339479615,3.1444488626134696e-4,1088,February,Vol6,1919,February_Vol6_02_President_Anthon_H._Lund_John_A._Widtsoe.txt,February_Vol6_02_President_Anthon_H._Lund_John_A._Widtsoe.txt,Vol6,1919,February
1079,0.00150473605608878,4.1325374728857703e-4,0.004059233000006945,0.02021938365347889,0.0032798522756469794,2.773865489714919e-4,0.0036902739364183474,2.919265923818305e-4,0.6871134160358805,3.600849198707731e-4,0.022775708222006665,1.8910053811723297e-4,0.24530168490464818,3.568503431053009e-5,0.0030369901748466396,0.002718647271997134,0.001371072992098921,0.0016142806622678515,9.665757597526671e-4,7.807076739209629e-4,1089,February,Vol6,1919,February_Vol6_03_President_Charles_W._Penrose_Joseph_F._Smith.txt,February_Vol6_03_President_Charles_W._Penrose_Joseph_F._Smith.txt,Vol6,1919,February
1080,9.353174779784656e-4,4.2250915883993876e-4,0.5582191990341855,0.049274336860788755,7.892698882468223e-4,2.667630307938066e-4,0.0031134508901093524,1.3062597330518408e-4,0.013693475202787178,0.001140282659399856,0.28646883985580024,1.0056306431690161e-4,0.07449999548370609,3.2253394937421505e-4,0.0022778209197264004,0.0025456310360405907,8.391109394174142e-4,0.003088741677260613,0.0017158492127637226,1.5568368515841332e-4,1090,February,Vol6,1919,February_Vol6_04_Elder_Rudger_Clawson.txt,February_Vol6_04_Elder_Rudger_Clawson.txt,Vol6,1919,February
1081,0.005998541735651336,0.0032429641659897134,0.00357114588662972,0.0023502843409062783,0.2344282743311761,0.2170702792752782,0.009314123442459831,0.002676654845385194,0.21001234472313143,0.0019893436250161033,0.005943784094759287,0.0018852479662697548,0.26165693755495456,8.196853763654206e-4,0.02112785180280413,0.001872953206623341,0.0035944869675652307,0.001698162205569356,0.005642556958257431,0.0051043774952078645,1091,February,Vol6,1919,February_Vol6_05_Be_Ye_of_Good_Cheer_Elsie_E._Barrett.txt,February_Vol6_05_Be_Ye_of_Good_Cheer_Elsie_E._Barrett.txt,Vol6,1919,February
