doc_id,file,path,volume,month,year,etype,title,author,word_count,source
vol2_September_02,02_The_Selfishness_of_Jacob_and_Rachel.txt,articles/vol2/September/02_The_Selfishness_of_Jacob_and_Rachel.txt,vol2,September,1915,article,The Selfishness of Jacob and Rachel —,Nephi Anderson,935,R_RS
vol2_September_03,03_In_the_Kitchen_Laboratory.txt,articles/vol2/September/03_In_the_Kitchen_Laboratory.txt,vol2,September,1915,article,In the Kitchen Laboratory —,Hazel Love Dunford,735,R_RS
vol2_September_04,04_Prince_of_Ur_A_Prince_of.txt,articles/vol2/September/04_Prince_of_Ur_A_Prince_of.txt,vol2,September,1915,article,Prince of Ur A Prince of,Ur,2777,R_RS
vol2_September_05,05_Homespun.txt,articles/vol2/September/05_Homespun.txt,vol2,September,1915,article,Homespun,,903,R_RS
vol2_September_06,06_Notes_from_Field_Notes_from_the_Field.txt,articles/vol2/September/06_Notes_from_Field_Notes_from_the_Field.txt,vol2,September,1915,article,Notes from Field Notes from the Field —,Amy B. Lyman,352,R_RS
vol2_September_07,07_Current_Topics_Current_Topics.txt,articles/vol2/September/07_Current_Topics_Current_Topics.txt,vol2,September,1915,article,Current Topics Current Topics —,James H. Anderson,704,R_RS
vol2_September_08,08_Editorial.txt,articles/vol2/September/08_Editorial.txt,vol2,September,1915,editorial,Editorial,,2289,R_RS
vol2_September_09,09_Guide.txt,articles/vol2/September/09_Guide.txt,vol2,September,1915,article,Guide,Lessons Guide Lessons,491,R_RS
vol2_September_10,10_Clothing_for_Women_Past_Forty.txt,articles/vol2/September/10_Clothing_for_Women_Past_Forty.txt,vol2,September,1915,article,Clothing for Women Past Forty —,The Two Sarahs,906,R_RS
vol2_October_01,01_Music_in_the_Church_and_in_the.txt,articles/vol2/October/01_Music_in_the_Church_and_in_the.txt,vol2,October,1915,article,Music in the Church and in the,Relief Society,4107,R_RS
vol2_October_02,02_The_Place_of_Music_in_Ward_and_Stake_Relief.txt,articles/vol2/October/02_The_Place_of_Music_in_Ward_and_Stake_Relief.txt,vol2,October,1915,article,The Place of Music in Ward and Stake Relief,Society Lucy May,2398,R_RS
vol2_October_03,03_His_Wifes_Talents.txt,articles/vol2/October/03_His_Wifes_Talents.txt,vol2,October,1915,article,His Wife's Talents,Elsie Chamberlain Carroll,1579,R_RS
vol2_October_04,04_In_the_Kitchen_Laboratory.txt,articles/vol2/October/04_In_the_Kitchen_Laboratory.txt,vol2,October,1915,article,In the Kitchen Laboratory,Hazel Love Dunford,2689,R_RS
vol2_October_05,05_Notes_from_Field_Notes_from_the_Field.txt,articles/vol2/October/05_Notes_from_Field_Notes_from_the_Field.txt,vol2,October,1915,article,Notes from Field Notes from the Field,Amy B. Lyman,12388,R_RS
vol2_October_06,06_Prince_of_Ur_A_Prince_of.txt,articles/vol2/October/06_Prince_of_Ur_A_Prince_of.txt,vol2,October,1915,article,Prince of Ur A Prince of,Ur Homespun,1197,R_RS
vol2_October_07,07_Current_Topics_Current_Topics.txt,articles/vol2/October/07_Current_Topics_Current_Topics.txt,vol2,October,1915,article,Current Topics Current Topics,James H. Anderson,785,R_RS
vol2_October_08,08_Editorial.txt,articles/vol2/October/08_Editorial.txt,vol2,October,1915,editorial,Editorial,,110,R_RS
vol2_October_09,09_Guide.txt,articles/vol2/October/09_Guide.txt,vol2,October,1915,article,Guide,Lessons Guide Lessons,1409,R_RS
vol2_October_10,10_Music.txt,articles/vol2/October/10_Music.txt,vol2,October,1915,article,Music,,1368,R_RS
vol2_November_01,01_The_Relief_Society_Woman_and.txt,articles/vol2/November/01_The_Relief_Society_Woman_and.txt,vol2,November,1915,article,The Relief Society Woman and,Her Home,1554,R_RS
vol2_November_02,02_A.txt,articles/vol2/November/02_A.txt,vol2,November,1915,article,A,Modern Thanksgiving Lily,252,R_RS
vol2_November_03,03_Thanksgiving_Day_in_the_Hospital.txt,articles/vol2/November/03_Thanksgiving_Day_in_the_Hospital.txt,vol2,November,1915,article,Thanksgiving Day in the Hospital,Ida Stewart Peay,1132,R_RS
vol2_November_04,04_His_Wifes_Talents.txt,articles/vol2/November/04_His_Wifes_Talents.txt,vol2,November,1915,article,His Wife's Talents,Elsie Chamberlain Carroll,1872,R_RS
vol2_November_05,05_The_Word_of_Wisdom.txt,articles/vol2/November/05_The_Word_of_Wisdom.txt,vol2,November,1915,article,The Word of Wisdom,Patriarch Hyrum Smith,1632,R_RS
vol2_November_06,06_Prince_of_Ur_The_Prince_of.txt,articles/vol2/November/06_Prince_of_Ur_The_Prince_of.txt,vol2,November,1915,article,Prince of Ur The Prince of,Ur Homespun,4012,R_RS
vol2_November_07,07_Current_Topics_Current_Topics.txt,articles/vol2/November/07_Current_Topics_Current_Topics.txt,vol2,November,1915,article,Current Topics Current Topics,James H. Anderson,730,R_RS
vol2_November_08,08_Notes_from_Field_Notes_from_the_Field.txt,articles/vol2/November/08_Notes_from_Field_Notes_from_the_Field.txt,vol2,November,1915,article,Notes from Field Notes from the Field,Amy B. Lyman,873,R_RS
