word,comparison,period_a,period_b,prt,apd,jsd,n_a,n_b
nurse,1915-1929 vs 1940-1949,1915-1929,1940-1949,0.1743411421775818,0.17565619945526123,0.04070273113943135,249,117
nurse,1915-1929 vs 1950-1959,1915-1929,1950-1959,0.17329621315002441,0.17407596111297607,0.026670032082387836,249,250
nurse,1915-1929 vs 1960-1970,1915-1929,1960-1970,0.17157423496246338,0.1725832223892212,0.012444811813844922,249,240
nurse,1930-1939 vs 1940-1949,1930-1939,1940-1949,0.16604411602020264,0.16604429483413696,0.02507745300291182,146,117
nurse,1930-1939 vs 1950-1959,1930-1939,1950-1959,0.16576063632965088,0.16480273008346558,0.05739335873232593,146,250
nurse,1930-1939 vs 1960-1970,1930-1939,1960-1970,0.16293859481811523,0.16206508874893188,0.04486653647757667,146,240
nurse,1940-1949 vs 1950-1959,1940-1949,1950-1959,0.16877973079681396,0.16776615381240845,0.008283723637190116,117,250
nurse,1940-1949 vs 1960-1970,1940-1949,1960-1970,0.16830885410308838,0.16759079694747925,0.008999672915807146,117,240
nurse,1950-1959 vs 1960-1970,1950-1959,1960-1970,0.16535437107086182,0.16466915607452393,0.008569805017149299,250,240
charity,1915-1929 vs 1930-1939,1915-1929,1930-1939,0.17745530605316162,0.17832839488983154,0.029709136603726417,246,250
charity,1915-1929 vs 1940-1949,1915-1929,1940-1949,0.1858769655227661,0.18604671955108643,0.04105168824722655,246,250
charity,1915-1929 vs 1950-1959,1915-1929,1950-1959,0.1858775019645691,0.18613481521606445,0.19168283964861693,246,186
charity,1915-1929 vs 1960-1970,1915-1929,1960-1970,0.18822252750396729,0.18860077857971191,0.2251282074481638,246,250
charity,1930-1939 vs 1940-1949,1930-1939,1940-1949,0.18091100454330444,0.18140113353729248,0.020916523242305703,250,250
charity,1930-1939 vs 1950-1959,1930-1939,1950-1959,0.1779370903968811,0.17838144302368164,0.1059054641710829,250,186
charity,1930-1939 vs 1960-1970,1930-1939,1960-1970,0.17991816997528076,0.18024510145187378,0.1250255717441632,250,250
charity,1940-1949 vs 1950-1959,1940-1949,1950-1959,0.18203353881835938,0.1828908920288086,0.06376037597554142,250,186
