doc_id,filename,Title,Author,Article_Type,volume_num,year,issue,dominant_topic,topic_label,proportion_pct,strong_exemplar
1025,WE_Vol35_1906_Issue6_030_THE_N_W_R_S_CONVENTION.txt,The N. W. R. S. Convention,Unknown,Board/Meeting,35,1906,6,2,Relief Society Conference Reports,80.7,TRUE
1679,WE_Vol38_1909_Issue5_021_R_S_REPORT.txt,R. S. REPORT,"ELIZA A. HAWKINS,",Relief Society Report,38,1909,5,2,Relief Society Conference Reports,80.4,TRUE
307,WE_Vol32_1903_Issue8_036_RELIEF_SOCIETY_CONFERENCE.txt,RELIEF SOCIETY CONFERENCE.,"BATHSHEBA W. SMITH,",Relief Society Report,32,1903,8,2,Relief Society Conference Reports,79.8,TRUE
2011,WE_Vol39_1910_Issue8_026_NEBO_STAKE.txt,Nebo Stake,"ELIZA A. HAWKINS,",Article,39,1910,8,2,Relief Society Conference Reports,79.7,TRUE
598,WE_Vol33_1904_Issue9_015_GENERAL_CONFERENCE_RELIEF_SOCIETY.txt,General Conference Relief Society,"ANNIE TAYLOR HYDE,",Relief Society Report,33,1904,9,2,Relief Society Conference Reports,79.4,TRUE
1442,WE_Vol37_1908_Issue5_019_ONEIDA_STAKE.txt,ONEIDA STAKE.,WOMAN’S EXPONENT,Article,37,1908,5,2,Relief Society Conference Reports,78.6,TRUE
95,WE_Vol32_1903_Issue12_009_VISIT_IN_ST_GEORGE_STAKE.txt,VISIT IN ST. GEORGE STAKE.,Unknown,Article,32,1903,12,2,Relief Society Conference Reports,78.5,TRUE
1276,WE_Vol36_1907_Issue7_016_NELLIE_BECRAFT.txt,NELLIE BECRAFT.,NELLIE BECRAFT,Article,36,1907,7,2,Relief Society Conference Reports,78.5,TRUE
1706,WE_Vol38_1909_Issue6_022_MORGAN_STAKE.txt,MORGAN STAKE.,ANNIE W. CLARK,Article,38,1909,6,2,Relief Society Conference Reports,78,TRUE
1626,WE_Vol38_1909_Issue3_021_SEVIER_STAKE.txt,SEVIER STAKE.,Brother T. Humphrey. Singing; “Once,Article,38,1909,3,2,Relief Society Conference Reports,77.7,TRUE
1108,WE_Vol35_1906_Issue9_030_AFTON_WYOMING.txt,"Afton, Wyoming",Elders Charles C. Leavitt and Steven,Article,35,1906,9,2,Relief Society Conference Reports,76.9,TRUE
887,WE_Vol35_1906_Issue1_014_VISITS_OF_MISSIONARIES.txt,VISITS OF MISSIONARIES.,President Bathsheba W. Smith are:—,Article,35,1906,1,2,Relief Society Conference Reports,76.8,TRUE
1150,WE_Vol36_1907_Issue2_018_RELIEF_SOCIETY_REPORTS.txt,RELIEF SOCIETY REPORTS.,"NELLIE BECRAFT,",Relief Society Report,36,1907,2,2,Relief Society Conference Reports,76.6,TRUE
2139,WE_Vol40_1911_Issue3_018_RELIEF_SOCIETY_REPORTS.txt,RELIEF SOCIETY REPORTS.,WOMAN’S EXPONENT,Relief Society Report,40,1911,3,2,Relief Society Conference Reports,76.6,TRUE
949,WE_Vol35_1906_Issue4_010_RELIEF_SOCIETY_REPORTS.txt,RELIEF SOCIETY REPORTS,Unknown,Relief Society Report,35,1906,4,2,Relief Society Conference Reports,76.2,TRUE
136,WE_Vol32_1903_Issue2_027_NEBO_STAKE.txt,NEBO STAKE.,Unknown,Article,32,1903,2,2,Relief Society Conference Reports,75.5,TRUE
2403,WE_Vol41_1912_Issue2_022_SNOWFLAKE_STAKE.txt,Snowflake Stake,Unknown,Article,41,1912,2,2,Relief Society Conference Reports,75.5,TRUE
2567,WE_Vol41_1912_Issue9_019_NORTH_SANPETE_STAKE.txt,North Sanpete Stake,WOMAN’S EXPONENT,Article,41,1912,9,2,Relief Society Conference Reports,75.3,TRUE
195,WE_Vol32_1903_Issue4_027_R_S_REPORTS.txt,R. S. Reports,Unknown,Relief Society Report,32,1903,4,2,Relief Society Conference Reports,75.2,TRUE
419,WE_Vol33_1904_Issue2_025_LIBERTY_STAKE.txt,LIBERTY STAKE.,LIBERTY STAKE,Article,33,1904,2,2,Relief Society Conference Reports,75,TRUE
1705,WE_Vol38_1909_Issue6_021_RELIEF_SOCIETY_REPORT.txt,RELIEF SOCIETY REPORT.,Unknown,Relief Society Report,38,1909,6,2,Relief Society Conference Reports,74.9,TRUE
1709,WE_Vol38_1909_Issue6_025_SNOWFLAKE_STAKE.txt,SNOWFLAKE STAKE.,WOMAN’S EXPONENT,Article,38,1909,6,2,Relief Society Conference Reports,74.5,TRUE
364,WE_Vol33_1904_Issue11_004_EDITORIAL_NOTE.txt,EDITORIAL NOTE.,Unknown,Editorial,33,1904,11,2,Relief Society Conference Reports,74.3,TRUE
100,WE_Vol32_1903_Issue12_014_EDITORIAL_NOTES.txt,Editorial Notes,Unknown,Editorial,32,1903,12,2,Relief Society Conference Reports,73.6,TRUE
934,WE_Vol35_1906_Issue3_020_ENSIGN_STAKE.txt,ENSIGN STAKE.,Unknown,Article,35,1906,3,2,Relief Society Conference Reports,73.6,TRUE
1351,WE_Vol37_1908_Issue1_019_GRANITE_STAKE.txt,GRANITE STAKE.,Unknown,Article,37,1908,1,2,Relief Society Conference Reports,73.5,TRUE
816,WE_Vol34_1905_Issue7_023_MARICOPA_STAKE.txt,MARICOPA STAKE.,Unknown,Article,34,1905,7,2,Relief Society Conference Reports,73.4,TRUE
482,WE_Vol33_1904_Issue3_051_LIBERTY_STAKE.txt,LIBERTY STAKE.,WOMAN’S EXPONENT,Article,33,1904,3,2,Relief Society Conference Reports,73.2,TRUE
1873,WE_Vol39_1910_Issue3_024_BIGHORN_STAKE.txt,BIGHORN STAKE.,WOMAN’S EXPONENT,Article,39,1910,3,2,Relief Society Conference Reports,72.8,TRUE
2045,WE_Vol40_1911_Issue1_005_ANNUAL_DAY_AT_BUTTE_MONTANA.txt,"Annual Day at Butte, Montana",Unknown,Article,40,1911,1,2,Relief Society Conference Reports,72.6,TRUE
552,WE_Vol33_1904_Issue7_023_BOX_ELDER.txt,BOX ELDER.,Unknown,Article,33,1904,7,2,Relief Society Conference Reports,72.4,TRUE
348,WE_Vol33_1904_Issue1_024_MARICOPA_STAKE.txt,MARICOPA STAKE.,Unknown,Article,33,1904,1,2,Relief Society Conference Reports,72.2,TRUE
469,WE_Vol33_1904_Issue3_038_R_S_REPORTS_2.txt,R. S. REPORTS.,Unknown,Relief Society Report,33,1904,3,2,Relief Society Conference Reports,72.1,TRUE
1201,WE_Vol36_1907_Issue4_016_RELIEF_SOCIETY_WORK_ABROAD.txt,Relief Society Work Abroad,Unknown,Relief Society Report,36,1907,4,2,Relief Society Conference Reports,72.1,TRUE
605,WE_Vol33_1904_Issue9_022_UINTAH_STAKE.txt,UINTAH STAKE.,Unknown,Article,33,1904,9,2,Relief Society Conference Reports,71.9,TRUE
2565,WE_Vol41_1912_Issue9_017_RELIEF_SOCIETY_REPORTS.txt,RELIEF SOCIETY REPORTS.,Unknown,Relief Society Report,41,1912,9,2,Relief Society Conference Reports,71.7,TRUE
1465,WE_Vol37_1908_Issue6_017_RELIEF_SOEIETY_CONFERENCE.txt,RELIEF SOEIETY CONFERENCE.,"BATHSHEBA W. SMITH,",Board/Meeting,37,1908,6,2,Relief Society Conference Reports,71.3,TRUE
2262,WE_Vol40_1911_Issue8_025_ST_JOSEPH_STAKE.txt,ST. JOSEPH STAKE.,"JOSEPHINE C. KIMBALL,",Article,40,1911,8,2,Relief Society Conference Reports,71,TRUE
2442,WE_Vol41_1912_Issue4_005_RELIEF_SOCIETY_REPORT.txt,RELIEF SOCIETY REPORT.,Unknown,Relief Society Report,41,1912,4,2,Relief Society Conference Reports,71,TRUE
858,WE_Vol34_1905_Issue9_017_MORGAN_STAKE.txt,MORGAN STAKE.,Unknown,Article,34,1905,9,2,Relief Society Conference Reports,70.8,TRUE
445,WE_Vol33_1904_Issue3_014_RELIEF_SOCIETY_CONFERENCE.txt,Relief Society Conference,"ANNIE TAYLOR HYDE,",Relief Society Report,33,1904,3,2,Relief Society Conference Reports,70.7,TRUE
