doc_id,filename,Title,Author,Article_Type,volume,year,month,corpus,publication,dominant_topic,topic_label,proportion_pct,strong_exemplar
949,August_Vol4_13_Notes_from_Field_Notes_from_the_Field_Amy_Brown_Lyman.txt,from Field Notes from the Field Amy Brown Lyman,Amy Brown Lyman,Notes from Field,Vol4,1917,August,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,43.3,TRUE
3132,WE_Vol39_1910_Issue1_023_SISTER_PENROSE.txt,SISTER PENROSE.,Unknown,Article,Vol39,1910,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,43.1,TRUE
1036,WE_Vol37_1908_Issue2_011_EDITORIAL_NOTES.txt,Editorial Notes,WOMAN’S EXPONENT,Editorial,Vol37,1908,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,43,TRUE
1671,WE_Vol33_1904_Issue1_021_A_HAPPY_BIRTHDAY_PART.txt,A Happy Birthday Part,Unknown,Article,Vol33,1904,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,42.8,TRUE
3287,WE_Vol38_1909_Issue8_020_PUBLIC_RECEPTION.txt,Public Reception,WOMAN’S EXPONENT,Article,Vol38,1909,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,42.8,TRUE
948,August_Vol4_06_Article_Early_Amusements_in_Utah_Sarah_Jane_Rich_Miller.txt,Early Amusements in Utah Sarah Jane Rich Miller,,Article,Vol4,1917,August,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,41.6,TRUE
1489,WE_Vol32_1903_Issue10_015_FEBRUARY_29_1904.txt,FEBRUARY 29. 1904.,Unknown,Article,Vol32,1903,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,41.5,TRUE
3261,WE_Vol32_1903_Issue10_005_PROGRAM_U_S_D_R_1904_1905.txt,"PROGRAM U. S. D. R., 1904—1905.",WOMAN’S EXPONENT,Article,Vol32,1903,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,41.2,TRUE
3736,WE_Vol32_1903_Issue8_038_D_R_STATE_SOCIETY.txt,D. R. STATE SOCIETY,Unknown,Article,Vol32,1903,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,40.5,TRUE
611,February_Vol9_00_CONTENTS.txt,February Vol9 00 CONTENTS,,Contents,Vol9,1922,February,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,40.4,TRUE
