Poem Rename Log - Vols 30-40
[high] VolVol37_1950 April: April_Vol37_01_Article_An_Exemplar_to_All_Men_David_O_McKay.txt -> April_Vol37_01_Poem_An_Exemplar_to_All_Men_David_O_McKay.txt
[medium] VolVol37_1950 April: April_Vol37_13_Article_Possession.txt -> April_Vol37_13_Poem_Possession.txt
[high] VolVol37_1950 April: April_Vol37_17_Article_Renewal.txt -> April_Vol37_17_Poem_Renewal.txt
[medium] VolVol37_1950 April: April_Vol37_18_Article_Diamonds.txt -> April_Vol37_18_Poem_Diamonds.txt
[medium] VolVol37_1950 February: February_Vol37_28_Article_Winter_Johnson.txt -> February_Vol37_28_Poem_Winter_Johnson.txt
[high] VolVol37_1950 January: January_Vol37_21_Article_Heritage_Candland.txt -> January_Vol37_21_Poem_Heritage_Candland.txt
[high] VolVol37_1950 June: June_Vol37_01_Frontispiece_Floral.txt -> June_Vol37_01_Poem_Floral.txt
[medium] VolVol37_1950 March: March_Vol37_06_Article_Faith_Horne.txt -> March_Vol37_06_Poem_Faith_Horne.txt
[medium] VolVol37_1950 March: March_Vol37_30_Article_The_Desert_Is_a_Stallings.txt -> March_Vol37_30_Poem_The_Desert_Is_a_Stallings.txt
[medium] VolVol37_1950 March: March_Vol37_36_Article_Birthday_Congratulations.txt -> March_Vol37_36_Poem_Birthday_Congratulations.txt
[medium] VolVol37_1950 May: May_Vol37_16_Article_The_Landmark.txt -> May_Vol37_16_Poem_The_Landmark.txt
[high] VolVol37_1950 October: October_Vol37_01_Frontispiece_October_Frontispiece.txt -> October_Vol37_01_Poem_October_Frontispiece.txt
[medium] VolVol38_1951 April: April_Vol38_06_Article_Utah_Gulls_in_Spring.txt -> April_Vol38_06_Poem_Utah_Gulls_in_Spring.txt
[medium] VolVol38_1951 April: April_Vol38_19_Article_That_See.txt -> April_Vol38_19_Poem_That_See.txt
[high] VolVol38_1951 April: April_Vol38_29_Article_Who_Has_Loved_the_Earth.txt -> April_Vol38_29_Poem_Who_Has_Loved_the_Earth.txt
[medium] VolVol38_1951 February: February_Vol38_01_Article_by_Stewart.txt -> February_Vol38_01_Poem_by_Stewart.txt
[medium] VolVol38_1951 July: July_Vol38_01_Editorial_North_Main_Salt_Lake_Dept.txt -> July_Vol38_01_Poem_North_Main_Salt_Lake_Dept.txt
[medium] VolVol38_1951 July: July_Vol38_07_Article_On_Petals_Falling.txt -> July_Vol38_07_Poem_On_Petals_Falling.txt
[medium] VolVol38_1951 July: July_Vol38_16_Article_Golden_Wedding.txt -> July_Vol38_16_Poem_Golden_Wedding.txt
[medium] VolVol38_1951 March: March_Vol38_01_Frontispiece_The_Frontispiece.txt -> March_Vol38_01_Poem_The_Frontispiece.txt
[medium] VolVol38_1951 October: October_Vol38_01_Frontispiece_Octobers_Dress.txt -> October_Vol38_01_Poem_Octobers_Dress.txt
[medium] VolVol39_1952 August: August_Vol39_05_Article_Today.txt -> August_Vol39_05_Poem_Today.txt
[medium] VolVol39_1952 December: December_Vol39_02_Frontispiece_They_Looked_for.txt -> December_Vol39_02_Poem_They_Looked_for.txt
[high] VolVol39_1952 February: February_Vol39_42_Article_Household_Hint_Lael_W_Hill.txt -> February_Vol39_42_Poem_Household_Hint_Lael_W_Hill.txt
[high] VolVol39_1952 January: January_Vol39_01_Article_A_Birthday_Greeting_General_Presidency_of_Relief_Society.txt -> January_Vol39_01_Poem_A_Birthday_Greeting_General_Presidency_of_Relief_Society.txt
[medium] VolVol39_1952 July: July_Vol39_10_Article_Landholder.txt -> July_Vol39_10_Poem_Landholder.txt
[high] VolVol39_1952 May: May_Vol39_18_Article_Re-Entrance_of_Spring.txt -> May_Vol39_18_Poem_Re-Entrance_of_Spring.txt
[medium] VolVol39_1952 May: May_Vol39_21_Article_Desert_Spring.txt -> May_Vol39_21_Poem_Desert_Spring.txt
[medium] VolVol39_1952 October: October_Vol39_20_Article_Beyond_the_Turning.txt -> October_Vol39_20_Poem_Beyond_the_Turning.txt
[medium] VolVol40_1953 February: February_Vol40_06_Article_The_Familiar_Dark.txt -> February_Vol40_06_Poem_The_Familiar_Dark.txt
