Publication,Initials,Articles,Resembles (probable),Agreement,Mean confidence,Threshold,Also possible,Years
Woman's Exponent,S. E. P.,1,Augusta Joyce Crocheron,100%,0.958,Conservative,NA,1896–1896
Woman's Exponent,S. F. A.,1,Helen Mar Whitney,100%,0.643,Balanced,NA,1885–1885
Woman's Exponent,S. F. R.,1,M. J. Tanner,100%,0.698,Balanced,NA,1890–1890
Woman's Exponent,S. J. C.,1,L. M. Hewlings,100%,0.48,Below threshold,NA,1900–1900
Woman's Exponent,S. J. J.,1,Eliza R. Snow,100%,0.426,Below threshold,NA,1876–1876
Woman's Exponent,S. J. M.,1,Emmeline B. Wells,100%,0.963,Conservative,NA,1890–1890
Woman's Exponent,S. K. G.,1,Hannah T. King,100%,0.605,Balanced,NA,1874–1874
Woman's Exponent,S. L.,1,Augusta Joyce Crocheron,100%,0.955,Conservative,NA,1879–1879
Woman's Exponent,S. M. H.,1,Emmeline B. Wells,100%,0.961,Conservative,NA,1890–1890
Woman's Exponent,S. M. K.,1,Hannah T. King,100%,0.968,Conservative,NA,1879–1879
Woman's Exponent,S. P.,1,Emmeline B. Wells,100%,0.694,Balanced,NA,1889–1889
Woman's Exponent,S. P. G.,1,Helen Mar Whitney,100%,0.76,Balanced,NA,1891–1891
Woman's Exponent,S. S.,1,Mary Ann M. Pratt,100%,0.32,Below threshold,NA,1878–1878
Woman's Exponent,S. T.,1,Lydia D. Alder,100%,0.288,Below threshold,NA,1879–1879
Woman's Exponent,S. W. R.,1,Emmeline B. Wells,100%,0.767,Balanced,NA,1895–1895
Woman's Exponent,T. C. J.,1,Emily B. Spencer,100%,0.924,Conservative,NA,1881–1881
Woman's Exponent,T. L. H.,1,Helen Mar Whitney,100%,0.633,Balanced,NA,1885–1885
Woman's Exponent,U. C.,1,Hannah T. King,100%,0.473,Below threshold,NA,1883–1883
Woman's Exponent,W. H. B.,1,Emmeline B. Wells,100%,0.547,Below threshold,NA,1889–1889
Woman's Exponent,W. H. S.,1,Helen Mar Whitney,100%,0.565,Balanced,NA,1879–1879
Woman's Exponent,W. J. L.,1,Lydia D. Alder,100%,0.997,Conservative,NA,1902–1902
Woman's Exponent,W. R.,1,Emmeline B. Wells,100%,0.555,Balanced,NA,1889–1889
